"user_statuses_count","user_followers_count","full_text","user_url","user_location","user_description","user_profile_image_url_https","is_quote_status","quote_count","user_friends_count","full_text_norm","entities_user_mentions","entities_urls","in_reply_to_user_id_str","favorite_count","lang","user_created_at","user_listed_count","created_at","user_id_str","user_favourites_count","user_verified","source","in_reply_to_status_id_str","reply_count","in_reply_to_screen_name","id_str","entities_hashtags","text_sentiment","retweet_count","user_name","user_screen_name"
"None","None","[SALAH] Kegiatan Sujud Syukur Kemenangan Prabowo – Sandi yang Diselenggarakan PA 212 Batal karena Ada Apel Siaga TNI – Polri di Monas ... video lama. Video itu direkam saat apel pengamanan Natal dan Tahun Baru 2018. Ia memastikan tidak ... #LawanHoax","None","None","None","None","None","None","None","[SALAH] Kegiatan Sujud Syukur Kemenangan Prabowo – Sandi yang Diselenggarakan PA 212 Batal karena Ada Apel Siaga TNI – Polri di Monas ... video lama. Video itu direkam saat apel pengamanan Natal dan Tahun Baru 2018. Ia memastikan tidak ... #LawanHoax","","None","",3,"None","None","None","2019-04-20 08:34","None","None","None","None","None",1,"","1119519618022821889","LawanHoax","negative",3,"MAFINDO","TurnBackHoax"
"None","None","[SALAH] “JOKOWI DIPASTIKAN TIDAK MENANG PILPRES 2019” By: Restu Bumi Ahli hukum tata negara dan pengamat politik Indonesia, Refly Harun dan Pakar hukum tata negara Yusril Ihza Mahendra ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax","None","None","None","None","None","None","None","[SALAH] “JOKOWI DIPASTIKAN TIDAK MENANG PILPRES 2019” By: Restu Bumi Ahli hukum tata negara dan pengamat politik Indonesia, Refly Harun dan Pakar hukum tata negara Yusril Ihza Mahendra ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax","","None","",40,"None","None","None","2019-04-20 07:07","None","None","None","None","None",1,"","1119497845730529281","LawanHoax","neutral",45,"MAFINDO","TurnBackHoax"
"None","None","[SALAH] 2014 Jokowi tidak di wakili suara rakyat menjadi presiden dengan kecurangan Secara hukum gugatan Prabowo-Hatta di 2014 seluruhnya ditolak oleh Mahkamah Konstitusi, selain itu ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax","None","None","None","None","None","None","None","[SALAH] 2014 Jokowi tidak di wakili suara rakyat menjadi presiden dengan kecurangan Secara hukum gugatan Prabowo-Hatta di 2014 seluruhnya ditolak oleh Mahkamah Konstitusi, selain itu ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax","","None","",27,"None","None","None","2019-04-20 04:50","None","None","None","None","None",3,"","1119463318295465984","LawanHoax","negative",61,"MAFINDO","TurnBackHoax"
"None","None","[BENAR] REDAKSI LIPUTAN 6 SCTV: “Tidak Pernah Revisi Quick Count” Redaksi Liputan 6 SCTV menyatakan bahwa pihaknya tidak pernah ... Tangkapan layar yang beredar adalah merupakan hasil exit poll Badan Pemenangan Nasional Prabowo-Sandiaga. #LawanHoax","None","None","None","None","None","None","None","[BENAR] REDAKSI LIPUTAN 6 SCTV: “Tidak Pernah Revisi Quick Count” Redaksi Liputan 6 SCTV menyatakan bahwa pihaknya tidak pernah ... Tangkapan layar yang beredar adalah merupakan hasil exit poll Badan Pemenangan Nasional Prabowo-Sandiaga. #LawanHoax","","None","",28,"None","None","None","2019-04-20 03:50","None","None","None","None","None",0,"","1119448337109831680","LawanHoax","neutral",36,"MAFINDO","TurnBackHoax"
"None","None","[SALAH] Jokowi Diruqiyah dan Tambah Ilmu Ghaib untuk Menangi Pilpres 2019 foto tersebut diambil tahun 2014, saat Jokowi sebagai Capres didoakan oleh Kiai Pondok Pesantren Jawiyah Samarangan di Garut, Jawa Barat. #LawanHoax","None","None","None","None","None","None","None","[SALAH] Jokowi Diruqiyah dan Tambah Ilmu Ghaib untuk Menangi Pilpres 2019 foto tersebut diambil tahun 2014, saat Jokowi sebagai Capres didoakan oleh Kiai Pondok Pesantren Jawiyah Samarangan di Garut, Jawa Barat. #LawanHoax","","None","",30,"None","None","None","2019-04-20 03:43","None","None","None","None","None",3,"","1119446535408775168","LawanHoax","neutral",50,"MAFINDO","TurnBackHoax"
"None","None","[BENAR] KPU Klarifikasi Terkait Kesalahan Input Data Form C1 Di TPS 093 Bidara Cina, Jakarta Timur KPU telah memperbaiki perolehan suara ... dimana perolehan suara paslon 01 mendapatkan 47 suara dan paslon 02 mendapatkan 162 suara. #LawanHoax","None","None","None","None","None","None","None","[BENAR] KPU Klarifikasi Terkait Kesalahan Input Data Form C1 Di TPS 093 Bidara Cina, Jakarta Timur KPU telah memperbaiki perolehan suara ... dimana perolehan suara paslon 01 mendapatkan 47 suara dan paslon 02 mendapatkan 162 suara. #LawanHoax","","None","",52,"None","None","None","2019-04-20 03:41","None","None","None","None","None",3,"","1119445887053221888","LawanHoax","neutral",54,"MAFINDO","TurnBackHoax"
"None","None","Masyarakat dipersilakan untuk ikut berpartisipasi dalam program ini melalui: 021-3866712 021-3844545 Whatsapp: 081 399 399 888 Streaming: gulir (scoll) ke bawah pilih Pro3 lalu Play.","None","None","None","None","None","None","None","Masyarakat dipersilakan untuk ikut berpartisipasi dalam program ini melalui: 021-3866712 021-3844545 Whatsapp: 081 399 399 888 Streaming: gulir (scoll) ke bawah pilih Pro3 lalu Play.","","None","",2,"None","None","None","2019-04-20 03:36","None","None","None","None","None",0,"","1119444655853015040","","neutral",1,"MAFINDO","TurnBackHoax"
"None","None","Kemudian hoaks exit poll di luar negeri, taruhan pilpres berhadiah lapangan sepakbola, data yang diklaim dari Mabes TNI terkait C1, dan server KPU yang diretas.","None","None","None","None","None","None","None","Kemudian hoaks exit poll di luar negeri, taruhan pilpres berhadiah lapangan sepakbola, data yang diklaim dari Mabes TNI terkait C1, dan server KPU yang diretas.","","None","",1,"None","None","None","2019-04-20 03:35","None","None","None","None","None",1,"","1119444458716585984","","neutral",1,"MAFINDO","TurnBackHoax"
"None","None","Ini adalah bagian dari semangat edukasi publik agar masyarakat terhindar dari hoaks dan fitnah. Sabtu ini, issue yang akan dibahas adalah seputar pemilu, termasuk fakta mengenai issue kesalahan entry C1 di server KPU.","None","None","None","None","None","None","None","Ini adalah bagian dari semangat edukasi publik agar masyarakat terhindar dari hoaks dan fitnah. Sabtu ini, issue yang akan dibahas adalah seputar pemilu, termasuk fakta mengenai issue kesalahan entry C1 di server KPU.","","None","",3,"None","None","None","2019-04-20 03:34","None","None","None","None","None",1,"","1119444219930664960","","neutral",4,"MAFINDO","TurnBackHoax"
"None","None","[ACARA] Kami, MAFINDO, mengisi acara rutin program talkshow di RRI Pro 3 setiap Sabtu jam 12.30 - 13.00 WIB. Setiap minggunya akan dibahas hoaks yang paling cepat menyebar dan meresahkan publik, dan juga berita yang sebenarnya betul, namun mungkin masyarakat ragu dengannya.","None","None","None","None","None","None","None","[ACARA] Kami, MAFINDO, mengisi acara rutin program talkshow di RRI Pro 3 setiap Sabtu jam 12.30 - 13.00 WIB. Setiap minggunya akan dibahas hoaks yang paling cepat menyebar dan meresahkan publik, dan juga berita yang sebenarnya betul, namun mungkin masyarakat ragu dengannya.","","None","",9,"None","None","None","2019-04-20 03:34","None","None","None","None","None",1,"","1119444104583102464","","positive",8,"MAFINDO","TurnBackHoax"
"None","None","[SALAH] Tulisan “Sujud Kemenangan Pak Prabowo” Dibuat oleh Anies Baswedan “Tidak ada posting-an Anies Baswedan terkait lembaga atau kegiatan survei Pemilu 2019. Semua posting-an Anies bisa dicek di akun Facebook-nya, aniesbaswedan,” #LawanHoax","None","None","None","None","None","None","None","[SALAH] Tulisan “Sujud Kemenangan Pak Prabowo” Dibuat oleh Anies Baswedan “Tidak ada posting-an Anies Baswedan terkait lembaga atau kegiatan survei Pemilu 2019. Semua posting-an Anies bisa dicek di akun Facebook-nya, aniesbaswedan,” #LawanHoax","","None","",25,"None","None","None","2019-04-19 16:47","None","None","None","None","None",2,"","1119281270226219008","LawanHoax","neutral",23,"MAFINDO","TurnBackHoax"
"None","None","[SALAH] Foto Quick Count dari Situs Tirto Menangkan Prabowo ... Gubahan itu dilakukan dengan mengubah informasi yang terdapat di dalam laman (situs) dengan cara “inspeksi elemen”. Selengkapnya di bagian PENJELASAN dan REFERENSI! #LawanHoax","None","None","None","None","None","None","None","[SALAH] Foto Quick Count dari Situs Tirto Menangkan Prabowo ... Gubahan itu dilakukan dengan mengubah informasi yang terdapat di dalam laman (situs) dengan cara “inspeksi elemen”. Selengkapnya di bagian PENJELASAN dan REFERENSI! #LawanHoax","","None","",89,"None","None","None","2019-04-19 13:13","None","None","None","None","None",3,"","1119227553963634689","LawanHoax","positive",147,"MAFINDO","TurnBackHoax"
"None","None","[SALAH] KPU dituduh melakukan “penggiringan opini yang luar biasa” Tidak akan bisa terjadi penggiringan opini para pemilih : karena proses coblos sudah selesai. Beda dengan Pemilu zaman dahulu, dimana berbagai lembaga survey sudah ... #LawanHoax","None","None","None","None","None","None","None","[SALAH] KPU dituduh melakukan “penggiringan opini yang luar biasa” Tidak akan bisa terjadi penggiringan opini para pemilih : karena proses coblos sudah selesai. Beda dengan Pemilu zaman dahulu, dimana berbagai lembaga survey sudah ... #LawanHoax","","None","",87,"None","None","None","2019-04-19 11:36","None","None","None","None","None",2,"","1119203236148170757","LawanHoax","neutral",114,"MAFINDO","TurnBackHoax"
"None","None","","None","None","None","None","None","None","None","","","None","",0,"None","None","None","2019-04-19 00:53","None","None","None","None","None",0,"","1119041242388545536","","neutral",4,"MAFINDO","TurnBackHoax"
"None","None","","None","None","None","None","None","None","None","","","None","882506640410521600",2,"None","None","None","2019-04-19 00:46","None","None","None","None","None",0,"IDhappypop","1119039546467868672","","neutral",1,"MAFINDO","TurnBackHoax"
"None","None","[BERITA] Video Ajakan untuk Membakar Jakarta Ternyata Bohong! Seorang pria bernama Sabar Gimbal bersama Pihak kepolisian mengklarifikasi terkait video yang beredar di sosial media. Video tersebut berisikan orasi pria gimbal yang bakal ... #LawanHoax","None","None","None","None","None","None","None","[BERITA] Video Ajakan untuk Membakar Jakarta Ternyata Bohong! Seorang pria bernama Sabar Gimbal bersama Pihak kepolisian mengklarifikasi terkait video yang beredar di sosial media. Video tersebut berisikan orasi pria gimbal yang bakal ... #LawanHoax","","None","",20,"None","None","None","2019-04-19 00:45","None","None","None","None","None",1,"","1119039164677099521","LawanHoax","positive",27,"MAFINDO","TurnBackHoax"
"None","None","[BERITA] Kata Pemantau Asing soal Pelaksanaan Pemilu 2019 di Indonesia... ... pesertanya ada yang dari Myanmar, Usbek, Jepang, Mozambik, Kedutaan Besar Singapura, Kedutaan Besar Ethiopia, kemudian medianya dari media mesir, kairo, TNI ... #LawanHoax","None","None","None","None","None","None","None","[BERITA] Kata Pemantau Asing soal Pelaksanaan Pemilu 2019 di Indonesia... ... pesertanya ada yang dari Myanmar, Usbek, Jepang, Mozambik, Kedutaan Besar Singapura, Kedutaan Besar Ethiopia, kemudian medianya dari media mesir, kairo, TNI ... #LawanHoax","","None","",20,"None","None","None","2019-04-18 23:01","None","None","None","None","None",1,"","1119013009685274625","LawanHoax","neutral",19,"MAFINDO","TurnBackHoax"
"None","None","[CekFakta] Server KPU Diserbu Bertubi-tubi Hacker dari Amerika ... Situng tidak mempengaruhi penghitungan suara. Hal ini karena penghitungan suara dilakukan secara manual dan berjenjang. #LawanHoax","None","None","None","None","None","None","None","[CekFakta] Server KPU Diserbu Bertubi-tubi Hacker dari Amerika ... Situng tidak mempengaruhi penghitungan suara. Hal ini karena penghitungan suara dilakukan secara manual dan berjenjang. #LawanHoax","","None","",58,"None","None","None","2019-04-18 22:32","None","None","None","None","None",3,"","1119005754646646784","LawanHoax","neutral",84,"MAFINDO","TurnBackHoax"
"None","None","[SALAH] “Data di Mabes TNI berdasarkan Formulir C1” Nama TNI dicatut agar post terlihat valid, padahal sumber data bukan dari TNI. Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax","None","None","None","None","None","None","None","[SALAH] “Data di Mabes TNI berdasarkan Formulir C1” Nama TNI dicatut agar post terlihat valid, padahal sumber data bukan dari TNI. Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax","","None","",206,"None","None","None","2019-04-18 14:00","None","None","None","None","None",10,"","1118876862166421506","LawanHoax","neutral",283,"MAFINDO","TurnBackHoax"
"None","None","[BERITA] Panglima TNI: Kami Akan Tindak Upaya Inkonstitusional dan Ganggu Ketertiban TNI dan Polri akan menjaga stabilitas keamanan hingga berakhirnya seluruh tahapan pemilu 2019. Hal itu disampaikan Panglima TNI dalam jumpa pers di ... #LawanHoax","None","None","None","None","None","None","None","[BERITA] Panglima TNI: Kami Akan Tindak Upaya Inkonstitusional dan Ganggu Ketertiban TNI dan Polri akan menjaga stabilitas keamanan hingga berakhirnya seluruh tahapan pemilu 2019. Hal itu disampaikan Panglima TNI dalam jumpa pers di ... #LawanHoax","","None","",33,"None","None","None","2019-04-18 09:57","None","None","None","None","None",1,"","1118815836183994368","LawanHoax","neutral",21,"MAFINDO","TurnBackHoax"
"None","None","[BERITA] Soal Pemantau Asing, KPU Sebut Sudah Tradisi dan Tak Perlu Didesak ... Jadi tanpa ada SOS atau desakan seperti itu, KPU sudah punya tradisi mengundang kehadiran pemantau asing dan domestik. Bukan hal baru sama sekali, #LawanHoax","None","None","None","None","None","None","None","[BERITA] Soal Pemantau Asing, KPU Sebut Sudah Tradisi dan Tak Perlu Didesak ... Jadi tanpa ada SOS atau desakan seperti itu, KPU sudah punya tradisi mengundang kehadiran pemantau asing dan domestik. Bukan hal baru sama sekali, #LawanHoax","","None","",36,"None","None","None","2019-04-18 09:47","None","None","None","None","None",1,"","1118813169411952640","LawanHoax","negative",33,"MAFINDO","TurnBackHoax"
"None","None","[EDUKASI] Kok Bisa: Gimana Cara Ngitung Cepet Hasil Pemilu? (Quick Count) #LawanHoax","None","None","None","None","None","None","None","[EDUKASI] Kok Bisa: Gimana Cara Ngitung Cepet Hasil Pemilu? (Quick Count) #LawanHoax","","None","",16,"None","None","None","2019-04-18 09:12","None","None","None","None","None",0,"","1118804514230849536","LawanHoax","neutral",20,"MAFINDO","TurnBackHoax"
"None","None","[SALAH] Habib Rizieq Shihab Serukan Coblos Jokowi Video Habib Rizieq Shihab serukan coblos Calon Presiden Nomor Urut 01, Joko Widodo merupakan video hasil suntingan. Video itu berasal dari video dalam akun Youtube Front TV berjudul ... #LawanHoax","None","None","None","None","None","None","None","[SALAH] Habib Rizieq Shihab Serukan Coblos Jokowi Video Habib Rizieq Shihab serukan coblos Calon Presiden Nomor Urut 01, Joko Widodo merupakan video hasil suntingan. Video itu berasal dari video dalam akun Youtube Front TV berjudul ... #LawanHoax","","None","",8,"None","None","None","2019-04-18 09:05","None","None","None","None","None",0,"","1118802669949206528","LawanHoax","neutral",13,"MAFINDO","TurnBackHoax"
"None","None","[SALAH] PERGERAKAN MIRIP ’98’ “Itu hoax. Semua konten-konten provokatif dan agitatif yang disebarkan oleh akun-akun di medsos sedang diprofiling dan identifikasi oleh tim Cyber Bareskrim,” #LawanHoax","None","None","None","None","None","None","None","[SALAH] PERGERAKAN MIRIP ’98’ “Itu hoax. Semua konten-konten provokatif dan agitatif yang disebarkan oleh akun-akun di medsos sedang diprofiling dan identifikasi oleh tim Cyber Bareskrim,” #LawanHoax","","None","",48,"None","None","None","2019-04-18 08:47","None","None","None","None","None",2,"","1118798083662340097","LawanHoax","neutral",70,"MAFINDO","TurnBackHoax"
"None","None","[BERITA] Polisi Gerebek 2 Tempat, Pembuat Hoaks Server KPU Menghilang ... penggerebekan di dua titik itu untuk menangkap pelaku berinisial WN yang diduga menjadi orang yang mengatakan apabila server yang bermarkas di Singapura telah ... #LawanHoax","None","None","None","None","None","None","None","[BERITA] Polisi Gerebek 2 Tempat, Pembuat Hoaks Server KPU Menghilang ... penggerebekan di dua titik itu untuk menangkap pelaku berinisial WN yang diduga menjadi orang yang mengatakan apabila server yang bermarkas di Singapura telah ... #LawanHoax","","None","",13,"None","None","None","2019-04-18 07:22","None","None","None","None","None",0,"","1118776714631335936","LawanHoax","neutral",20,"MAFINDO","TurnBackHoax"
"None","None","[NEWS] When election dust settles, Indonesia will continue grappling with potent mix of religion and politics Both Mr Widodo and Mr Subianto had also, during the hustings, spoken about the need to uphold the “Pancasila” ideology. #LawanHoax","None","None","None","None","None","None","None","[NEWS] When election dust settles, Indonesia will continue grappling with potent mix of religion and politics Both Mr Widodo and Mr Subianto had also, during the hustings, spoken about the need to uphold the “Pancasila” ideology. #LawanHoax","","None","",9,"None","None","None","2019-04-18 04:09","None","None","None","None","None",1,"","1118728159040430080","LawanHoax","neutral",5,"MAFINDO","TurnBackHoax"
"None","None","[CekFakta] Ada TPS Tawarkan Doorprize Cincin Berlapis Emas? Informasi itu cenderung salah dan tidak bisa dipertanggungjawabkan. #cekfaktaPemilu2019","None","None","None","None","None","None","None","[CekFakta] Ada TPS Tawarkan Doorprize Cincin Berlapis Emas? Informasi itu cenderung salah dan tidak bisa dipertanggungjawabkan. #cekfaktaPemilu2019","","None","",6,"None","None","None","2019-04-17 15:55","None","None","None","None","None",0,"","1118543409235415041","cekfaktaPemilu2019","neutral",3,"MAFINDO","TurnBackHoax"
"None","None","[CekFakta] Seorang Anggota Polisi Meninggal Saat Mengamankan Distribusi Kotak Suara di Daerah Bandung Kabid Humas Polda Jabar Kombes Trunoyudo Wisnu Andiko mengatakan, sebelum meninggal, korban sempat mengeluhkan kelelahan saat ... #LawanHoax","None","None","None","None","None","None","None","[CekFakta] Seorang Anggota Polisi Meninggal Saat Mengamankan Distribusi Kotak Suara di Daerah Bandung Kabid Humas Polda Jabar Kombes Trunoyudo Wisnu Andiko mengatakan, sebelum meninggal, korban sempat mengeluhkan kelelahan saat ... #LawanHoax","","None","",14,"None","None","None","2019-04-17 15:37","None","None","None","None","None",1,"","1118539073474314242","LawanHoax","negative",6,"MAFINDO","TurnBackHoax"
"None","None","Kelihatannya bagaimana? :)","None","None","None","None","None","None","None","Kelihatannya bagaimana? :)","","None","15847419",0,"None","None","None","2019-04-17 15:31","None","None","None","None","None",1,"masharjanta","1118537485267587072","","positive",0,"MAFINDO","TurnBackHoax"
