"user_statuses_count","user_followers_count","full_text","user_url","user_location","user_description","user_profile_image_url_https","is_quote_status","quote_count","user_friends_count","full_text_norm","entities_user_mentions","entities_urls","in_reply_to_user_id_str","favorite_count","lang","user_created_at","user_listed_count","created_at","user_id_str","user_favourites_count","user_verified","source","in_reply_to_status_id_str","reply_count","in_reply_to_screen_name","id_str","entities_hashtags","text_sentiment","retweet_count","user_name","user_screen_name"
"None","None","Kalah di Makassar, boikot coto Makassar, kalau bong berani dasar bong PeAk. #PrabowoWinRealCount","None","None","None","None","None","None","None","Kalah di Makassar, boikot coto Makassar, kalau bong berani dasar bong PeAk. #PrabowoWinRealCount","","None","1389419383 1103944723977236480",0,"None","None","None","2019-04-25 03:58","None","None","None","None","None",0,"alialhinduan KwikKianGie_","1121262225287630848","PrabowoWinRealCount","positive",0,"Hadirawati","dhira_key"
"None","None","#BPNKawalSuaraKami #IndonesiaFraudElection #IndonesiaFraudElection2019 #MauMenangKokMainCurang #AuditForensikKPU #PrabowoWinRealCount ","None","None","None","None","None","None","None","#BPNKawalSuaraKami #IndonesiaFraudElection #IndonesiaFraudElection2019 #MauMenangKokMainCurang #AuditForensikKPU #PrabowoWinRealCount ","","None","",0,"None","None","None","2019-04-25 03:51","None","None","None","None","None",0,"","1121260403151912960","BPNKawalSuaraKami IndonesiaFraudElection IndonesiaFraudElection2019 MauMenangKokMainCurang AuditForensikKPU PrabowoWinRealCount","neutral",0,"Yudha","endhaxcv"
"None","None","#BPNKawalSuaraKami #IndonesiaFraudElection #IndonesiaFraudElection2019 #MauMenangKokMainCurang #AuditForensikKPU #PrabowoWinRealCount ","None","None","None","None","None","None","None","#BPNKawalSuaraKami #IndonesiaFraudElection #IndonesiaFraudElection2019 #MauMenangKokMainCurang #AuditForensikKPU #PrabowoWinRealCount ","","None","",0,"None","None","None","2019-04-25 03:51","None","None","None","None","None",0,"","1121260321161633792","BPNKawalSuaraKami IndonesiaFraudElection IndonesiaFraudElection2019 MauMenangKokMainCurang AuditForensikKPU PrabowoWinRealCount","neutral",0,"Yudha","endhaxcv"
"None","None","Hidup TNI. Dirgahayu Kopassus #PrabowoWinRealCount #SaveOurDemocracy","None","None","None","None","None","None","None","Hidup TNI. Dirgahayu Kopassus #PrabowoWinRealCount #SaveOurDemocracy","","None","",0,"None","None","None","2019-04-25 03:19","None","None","None","None","None",0,"","1121252402131161088","PrabowoWinRealCount SaveOurDemocracy","neutral",0,"Maksum Abdul Hamid","Maksum_cahndeso"
"None","None","#02wintheelection #PrabowoPresidenRI #PrabowoWinRealCount ","None","None","None","None","None","None","None","#02wintheelection #PrabowoPresidenRI #PrabowoWinRealCount ","","None","",0,"None","None","None","2019-04-25 03:13","None","None","None","None","None",0,"","1121250766029819904","02wintheelection PrabowoPresidenRI PrabowoWinRealCount","neutral",0,"Ana Noor","ApricottaCandy"
"None","None","Teman2 madura luar biasa, semua berakal sehat #PejuangPenjagaSuara02 #RCnyaKPUdimiripkanQC #PrabowoWinRealCount","None","None","None","None","None","None","None","Teman2 madura luar biasa, semua berakal sehat #PejuangPenjagaSuara02 #RCnyaKPUdimiripkanQC #PrabowoWinRealCount","","None","3263218255 132041617",0,"None","None","None","2019-04-25 03:12","None","None","None","None","None",0,"MSApunya sandiuno","1121250717686095872","PejuangPenjagaSuara02 RCnyaKPUdimiripkanQC PrabowoWinRealCount","positive",0,"Faisal","faisal1809"
"None","None","Siapapun nanti yang menang yang penting saya tidak berada di barisan cebong haha.. #PrabowoWinRealCount #JagaSuara02AmankanC1 #02wintheelection #PrabowoBentengNKRI","None","None","None","None","None","None","None","Siapapun nanti yang menang yang penting saya tidak berada di barisan cebong haha.. #PrabowoWinRealCount #JagaSuara02AmankanC1 #02wintheelection #PrabowoBentengNKRI","","None","",1,"None","None","None","2019-04-25 03:05","None","None","None","None","None",0,"","1121248906132647937","PrabowoWinRealCount JagaSuara02AmankanC1 02wintheelection PrabowoBentengNKRI","positive",0,"Muhamad Yogi Gunawan","MuhamadYogiGun1"
"None","None","se7... #PrabowoWinRealCount #KpuJanganCurang #119FatalityKetuaKPUMundur","None","None","None","None","None","None","None","se7... #PrabowoWinRealCount #KpuJanganCurang #119FatalityKetuaKPUMundur","","None","2519832906 890843874020605953",0,"None","None","None","2019-04-25 03:02","None","None","None","None","None",0,"MbahUyok FarhanAD1972","1121248069817782273","PrabowoWinRealCount KpuJanganCurang 119FatalityKetuaKPUMundur","neutral",0,"SutanRaja","SutanRaja7"
"None","None","sakit kepala bukan karena c1 tetapi karena rantai putus. #KPUJanganSalahInputData #KpuJanganCurang #PrabowoWinRealCount","None","None","None","None","None","None","None","sakit kepala bukan karena c1 tetapi karena rantai putus. #KPUJanganSalahInputData #KpuJanganCurang #PrabowoWinRealCount","","None","",0,"None","None","None","2019-04-25 02:59","None","None","None","None","None",0,"","1121247258341588992","KPUJanganSalahInputData KpuJanganCurang PrabowoWinRealCount","negative",0,"Sandireonaldibue","sandireonaldi95"
"None","None","Udh di php in.. masih jd penjilat. #RealCountKPUdimiripkanQC #PrabowoWinRealCount #PrabowoSandiTakTerbendung","None","None","None","None","None","None","None","Udh di php in.. masih jd penjilat. #RealCountKPUdimiripkanQC #PrabowoWinRealCount #PrabowoSandiTakTerbendung","","None","1279880442",0,"None","None","None","2019-04-25 02:57","None","None","None","None","None",0,"refrizalskb","1121246752999264256","RealCountKPUdimiripkanQC PrabowoWinRealCount PrabowoSandiTakTerbendung","neutral",0,"Early66","erlyy66"
