"user_statuses_count","user_followers_count","full_text","user_url","user_location","user_description","user_profile_image_url_https","is_quote_status","quote_count","user_friends_count","full_text_norm","entities_user_mentions","entities_urls","in_reply_to_user_id_str","favorite_count","lang","user_created_at","user_listed_count","created_at","user_id_str","user_favourites_count","user_verified","source","in_reply_to_status_id_str","reply_count","in_reply_to_screen_name","id_str","entities_hashtags","text_sentiment","retweet_count","user_name","user_screen_name"
"None","None","@KPU_ID Dibayar dari uang RAKYAT, ingat bukan uang JOKOWI, jadi berlakulah Jujur Dan Adil #AuditForensikKPU #KPUJanganCurangiSuara02 #KPUJanganSalahInputData #KPUcurang #tangkapketuaKPU","None","None","None","None","None","None","None","@KPU_ID Dibayar dari uang RAKYAT, ingat bukan uang JOKOWI, jadi berlakulah Jujur Dan Adil #AuditForensikKPU #KPUJanganCurangiSuara02 #KPUJanganSalahInputData #KPUcurang #tangkapketuaKPU","KPU_ID","None","",0,"None","None","None","2019-04-24 12:18","None","None","None","None","None",0,"","1121025712058585088","AuditForensikKPU KPUJanganCurangiSuara02 KPUJanganSalahInputData KPUcurang tangkapketuaKPU","neutral",0,"Heyreddin Barbarossa","Chaeruddin_B"
"None","None","Kita memang telah dicurangi oleh para cecunguk biadab yg otak dan hatinya diselempitkan di ujung silit! #KPUcurang #KPUJanganCurangiSuara02 #KPUJanganKurangiSuara02 #KPUTransparan #KPUJanganSalahInputData","None","None","None","None","None","None","None","Kita memang telah dicurangi oleh para cecunguk biadab yg otak dan hatinya diselempitkan di ujung silit! #KPUcurang #KPUJanganCurangiSuara02 #KPUJanganKurangiSuara02 #KPUTransparan #KPUJanganSalahInputData","","None","",0,"None","None","None","2019-04-24 12:13","None","None","None","None","None",0,"","1121024331939639296","KPUcurang KPUJanganCurangiSuara02 KPUJanganKurangiSuara02 KPUTransparan KPUJanganSalahInputData","positive",0,"gondrongbecak","gondrongbecak1"
"None","None","#KPUcurang #AuditForensikKPU #BentukTPFkecuranganPilpres","None","None","None","None","None","None","None","#KPUcurang #AuditForensikKPU #BentukTPFkecuranganPilpres","","None","",0,"None","None","None","2019-04-24 12:10","None","None","None","None","None",0,"","1121023700000628742","KPUcurang AuditForensikKPU BentukTPFkecuranganPilpres","neutral",0,"mbahjambrong","mbahjam07979310"
"None","None","@KPU_ID @jokowi @LuhutPandjaitan @LuhutBinsar @bawaslu_RI bisa liat kaaann #KPUcurang #tolakluhut #BawasluKPUJanganCurang","None","None","None","None","None","None","None","@KPU_ID @jokowi @LuhutPandjaitan @LuhutBinsar @bawaslu_RI bisa liat kaaann #KPUcurang #tolakluhut #BawasluKPUJanganCurang","KPU_ID jokowi LuhutPandjaitan LuhutBinsar bawaslu_RI","None","",0,"None","None","None","2019-04-24 12:10","None","None","None","None","None",0,"","1121023501614272512","KPUcurang tolakluhut BawasluKPUJanganCurang","neutral",0,"Susan","schrani76"
"None","None","Mana ada maling ngaku #KPUcurang semoga yg kuwasa ALLOH SUBHANAH memberi azab dunia akhirat","None","None","None","None","None","None","None","Mana ada maling ngaku #KPUcurang semoga yg kuwasa ALLOH SUBHANAH memberi azab dunia akhirat","","None","2413697946",0,"None","None","None","2019-04-24 12:00","None","None","None","None","None",0,"KPU_ID","1121021046767935488","KPUcurang","negative",0,"بنت طاهر 506","NHcP1jsa4GMYY8j"
"None","None","wow Garut you are the best #SaveOurDemocracy #KPUJanganSalahInputData #KPUJanganCurangiSuara02 #KPUJanganKurangiSuara02 #AuditForensikKPU #119FatalityKetuaKPUMundur #KPUcurang","None","None","None","None","None","None","None","wow Garut you are the best #SaveOurDemocracy #KPUJanganSalahInputData #KPUJanganCurangiSuara02 #KPUJanganKurangiSuara02 #AuditForensikKPU #119FatalityKetuaKPUMundur #KPUcurang","","None","213879102 943379897203826688",0,"None","None","None","2019-04-24 11:48","None","None","None","None","None",0,"MegaSimarmata LisaAmartaTara","1121017988721758210","SaveOurDemocracy KPUJanganSalahInputData KPUJanganCurangiSuara02 KPUJanganKurangiSuara02 AuditForensikKPU 119FatalityKetuaKPUMundur KPUcurang","positive",0,"reza ramdani tolibin","r324mmpd"
"None","None","terimakasih pak @jumhurhidayat telah mewakili sakit hati kami sebagai warga negara yang di Curangi. #KPUcurang #KPUJanganSalahInputData #119FatalityKetuaKPUMundur #119FatalityKetuaKPUMundur #BentukTPFkecuranganPilpres","None","None","None","None","None","None","None","terimakasih pak @jumhurhidayat telah mewakili sakit hati kami sebagai warga negara yang di Curangi. #KPUcurang #KPUJanganSalahInputData #119FatalityKetuaKPUMundur #119FatalityKetuaKPUMundur #BentukTPFkecuranganPilpres","jumhurhidayat","None","959339292 4528366212",2,"None","None","None","2019-04-24 11:28","None","None","None","None","None",0,"_PRABOWO_SANDI Erik_Alfredo5","1121013111765389312","KPUcurang KPUJanganSalahInputData 119FatalityKetuaKPUMundur 119FatalityKetuaKPUMundur BentukTPFkecuranganPilpres","negative",2,"Nadya mitchas Zahira","nadyazahira1012"
"None","None","#KPUcurang #119FatalityKetuaKPUMundur","None","None","None","None","None","None","None","#KPUcurang #119FatalityKetuaKPUMundur","","None","",0,"None","None","None","2019-04-24 11:27","None","None","None","None","None",0,"","1121012849898180609","KPUcurang 119FatalityKetuaKPUMundur","neutral",1,"«ᵸ»","c4_15R"
"None","None","Persib till i die #KPUCurang","None","None","None","None","None","None","None","Persib till i die #KPUCurang","","None","",0,"None","None","None","2019-04-24 11:25","None","None","None","None","None",0,"","1121012176813035520","KPUCurang","neutral",0,"H B B","irpanhabibi"
"None","None","bukan jangan memaksa input.. TAPI PAK WAHYU JNGAN MENUTUPI KECURANGAN PARA PENGINPUT DATA.. KALAU TAK MAU DISEBUT #KPUCURANG ","None","None","None","None","None","None","None","bukan jangan memaksa input.. TAPI PAK WAHYU JNGAN MENUTUPI KECURANGAN PARA PENGINPUT DATA.. KALAU TAK MAU DISEBUT #KPUCURANG ","","None","",0,"None","None","None","2019-04-24 11:15","None","None","None","None","None",0,"","1121009804573437952","KPUCURANG","positive",0,"Bang Yan","erliansyahyans"
