"user_statuses_count","user_followers_count","full_text","user_url","user_location","user_description","user_profile_image_url_https","is_quote_status","quote_count","user_friends_count","full_text_norm","entities_user_mentions","entities_urls","in_reply_to_user_id_str","favorite_count","lang","user_created_at","user_listed_count","created_at","user_id_str","user_favourites_count","user_verified","source","in_reply_to_status_id_str","reply_count","in_reply_to_screen_name","id_str","entities_hashtags","text_sentiment","retweet_count","user_name","user_screen_name"
"None","None","Bupati Kep. Yapen Menghimbau Masyarakat Untuk tidak Terprovokasi dan Menunggu Penetapan dari KPU. #Pemilu2019 #PemiluDamai #pemiluamandamaisejuk #Pilpres2019 ","None","None","None","None","None","None","None","Bupati Kep. Yapen Menghimbau Masyarakat Untuk tidak Terprovokasi dan Menunggu Penetapan dari KPU. #Pemilu2019 #PemiluDamai #pemiluamandamaisejuk #Pilpres2019 ","","None","",0,"None","None","None","2019-04-24 12:21","None","None","None","None","None",0,"","1121026273621319680","Pemilu2019 PemiluDamai pemiluamandamaisejuk Pilpres2019","neutral",0,"Polda Papua","HmsPoldaPapua"
"None","None","Terima kasih, pemilu berjalan lancar dan aman. Mari kita jaga persatuan, Jangan terpecah belah hanya karena beda pilihan ayo jaga kerukuran kita kembali KH. Drs. M. DAWAMUDIN, KETUA FKUB KABUPATEN KEBUMEN #Pilpres2019 #kebumen","None","None","None","None","None","None","None","Terima kasih, pemilu berjalan lancar dan aman. Mari kita jaga persatuan, Jangan terpecah belah hanya karena beda pilihan ayo jaga kerukuran kita kembali KH. Drs. M. DAWAMUDIN, KETUA FKUB KABUPATEN KEBUMEN #Pilpres2019 #kebumen","","None","",0,"None","None","None","2019-04-24 12:14","None","None","None","None","None",0,"","1121024560990568448","Pilpres2019 kebumen","positive",0,"Polres Kebumen","polreskebumen"
"None","None","Saya mendukung Indonesia yang bersih dari polusi dan korupsi di #Pilpres2019 #BersihkanIndonesia ","None","None","None","None","None","None","None","Saya mendukung Indonesia yang bersih dari polusi dan korupsi di #Pilpres2019 #BersihkanIndonesia ","","None","",0,"None","None","None","2019-04-24 12:12","None","None","None","None","None",0,"","1121024036069347328","Pilpres2019 BersihkanIndonesia","positive",0,"Rudi Heriyanto","rudiheriyanto48"
"None","None","Belajar dari gugurnya 119 petugas KPPS dan 15 polisi lewat @beritagarid #infografik #Pemilu2019 #Pilpres2019","None","None","None","None","None","None","None","Belajar dari gugurnya 119 petugas KPPS dan 15 polisi lewat @beritagarid #infografik #Pemilu2019 #Pilpres2019","beritagarid","None","",1,"None","None","None","2019-04-24 12:08","None","None","None","None","None",0,"","1121023073325502464","infografik Pemilu2019 Pilpres2019","neutral",1,"Antyo Beritagar","AntyoBeritagar"
"None","None","Ya LUAR BIASA.. TERBURUK dlm sejarah indonesia.. PEMILU #Pilpres2019 dan #Pileg2019 tahun ini.. Kami team berharap Pimp.Loyalis besar #DR_AdiliaPutri berdampingan dgn Bang Sandi di PILPRES 2024. Jika Bang sandi kalah di PILPRES tahun ini.. #AKIMalamtvone","None","None","None","None","None","None","None","Ya LUAR BIASA.. TERBURUK dlm sejarah indonesia.. PEMILU #Pilpres2019 dan #Pileg2019 tahun ini.. Kami team berharap Pimp.Loyalis besar #DR_AdiliaPutri berdampingan dgn Bang Sandi di PILPRES 2024. Jika Bang sandi kalah di PILPRES tahun ini.. #AKIMalamtvone","","None","1062254883527479296 1062251938413080576",7,"None","None","None","2019-04-24 12:07","None","None","None","None","None",0,"TEAMJAGUAR3 THarimauputih","1121022892374810624","Pilpres2019 Pileg2019 DR_AdiliaPutri AKIMalamtvone","negative",6,"ElangTeam02","ElangTeam02"
"None","None","The latest World view by Doc! #muellerreport #pilpres2019","None","None","None","None","None","None","None","The latest World view by Doc! #muellerreport #pilpres2019","","None","",0,"None","None","None","2019-04-24 12:06","None","None","None","None","None",0,"","1121022635951968257","muellerreport pilpres2019","positive",0,"Dr Vikram","drvikram"
"None","None","...Kalau nggak dicurangi bisa 70 atau 80%, ujar Ketua BPN Prabowo-Sandiaga, Djoko Santoso mengklaim paslon 02 bisa menang. #Pilpres2019 ","None","None","None","None","None","None","None","...Kalau nggak dicurangi bisa 70 atau 80%, ujar Ketua BPN Prabowo-Sandiaga, Djoko Santoso mengklaim paslon 02 bisa menang. #Pilpres2019 ","","None","",5,"None","None","None","2019-04-24 12:05","None","None","None","None","None",0,"","1121022462831947777","Pilpres2019","positive",3,"Prabowo_Sandi","relawan_02PAS"
"None","None","#Pilpres2019 ","None","None","None","None","None","None","None","#Pilpres2019 ","","None","",0,"None","None","None","2019-04-24 12:04","None","None","None","None","None",0,"","1121022118613807104","Pilpres2019","neutral",0,"QampretQuadrat2","adelintlsoeta2"
"None","None","Yuk, pantau hasil penghitungan suara oleh @KPU_RI untuk #Pilpres2019 melalui live streaming di ","None","None","None","None","None","None","None","Yuk, pantau hasil penghitungan suara oleh @KPU_RI untuk #Pilpres2019 melalui live streaming di ","KPU_RI","None","",2,"None","None","None","2019-04-24 12:04","None","None","None","None","None",0,"","1121021971859292160","Pilpres2019","neutral",0,"KOMPAS TV","KompasTV"
"None","None","Ya LUAR BIASA.. TERBURUK dlm sejarah indonesia.. PEMILU #Pilpres2019 dan #Pileg2019 tahun ini.. Kami team berharap Pimp.Loyalis besar #DR_AdiliaPutri berdampingan dgn Bang Sandi di PILPRES 2024. Jika Bang sandi kalah di PILPRES tahun ini.. #AKIMalamtvone","None","None","None","None","None","None","None","Ya LUAR BIASA.. TERBURUK dlm sejarah indonesia.. PEMILU #Pilpres2019 dan #Pileg2019 tahun ini.. Kami team berharap Pimp.Loyalis besar #DR_AdiliaPutri berdampingan dgn Bang Sandi di PILPRES 2024. Jika Bang sandi kalah di PILPRES tahun ini.. #AKIMalamtvone","","None","1062254883527479296 1062251938413080576",0,"None","None","None","2019-04-24 12:01","None","None","None","None","None",0,"TEAMJAGUAR3 THarimauputih","1121021429644791808","Pilpres2019 Pileg2019 DR_AdiliaPutri AKIMalamtvone","negative",0,"ElangTeam02","ElangTeam02"
