full_text,full_text_norm,in_reply_to_user_id_str,favorite_count,created_at,jam,reply_count,in_reply_to_screen_name,id_str,entities_hashtags,text_sentiment,retweet_count,user_name,user_screen_name
[SALAH] Kegiatan Sujud Syukur Kemenangan Prabowo – Sandi yang Diselenggarakan PA 212 Batal karena Ada Apel Siaga TNI – Polri di Monas ... video lama. Video itu direkam saat apel pengamanan Natal dan Tahun Baru 2018. Ia memastikan tidak ... #LawanHoax,salah kegiatan sujud syukur kemenangan prabowo sandi diselenggarakan twohundredtwelve batal apel siaga tni polri monas video video direkam apel pengamanan natal twothousandeighteen,NA,3,2019-04-20,08:34:00,1,NA,1119519618022821900,LawanHoax,negative,3,MAFINDO,TurnBackHoax
"[SALAH] “JOKOWI DIPASTIKAN TIDAK MENANG PILPRES 2019” By: Restu Bumi Ahli hukum tata negara dan pengamat politik Indonesia, Refly Harun dan Pakar hukum tata negara Yusril Ihza Mahendra ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah jokowi menang pilpres twothousandnineteen restu bumi ahli hukum tata negara pengamat politik indonesia refly harun pakar hukum tata negara yusril ihza mahendra selengkapnya penjelasan referensi,NA,40,2019-04-20,07:07:00,1,NA,1119497845730529300,LawanHoax,neutral,45,MAFINDO,TurnBackHoax
"[SALAH] 2014 Jokowi tidak di wakili suara rakyat menjadi presiden dengan kecurangan Secara hukum gugatan Prabowo-Hatta di 2014 seluruhnya ditolak oleh Mahkamah Konstitusi, selain itu ... Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah twothousandfourteen jokowi wakili suara rakyat presiden kecurangan hukum gugatan prabowo hatta twothousandfourteen ditolak mahkamah konstitusi selengkapnya penjelasan referensi,NA,27,2019-04-20,04:50:00,3,NA,1119463318295466e3,LawanHoax,negative,61,MAFINDO,TurnBackHoax
"[SALAH] Jokowi Diruqiyah dan Tambah Ilmu Ghaib untuk Menangi Pilpres 2019 foto tersebut diambil tahun 2014, saat Jokowi sebagai Capres didoakan oleh Kiai Pondok Pesantren Jawiyah Samarangan di Garut, Jawa Barat. #LawanHoax",salah jokowi diruqiyah ilmu ghaib menangi pilpres twothousandnineteen foto diambil twothousandfourteen jokowi capres didoakan kiai pondok pesantren jawiyah samarangan garut jawa barat,NA,30,2019-04-20,03:43:00,3,NA,1119446535408775200,LawanHoax,neutral,50,MAFINDO,TurnBackHoax
"[SALAH] Tulisan “Sujud Kemenangan Pak Prabowo” Dibuat oleh Anies Baswedan “Tidak ada posting-an Anies Baswedan terkait lembaga atau kegiatan survei Pemilu 2019. Semua posting-an Anies bisa dicek di akun Facebook-nya, aniesbaswedan,” #LawanHoax",salah tulisan sujud kemenangan prabowo anies baswedan posting anies baswedan terkait lembaga kegiatan survei pemilu twothousandnineteen posting anies dicek akun facebook aniesbaswedan,NA,25,2019-04-19,16:47:00,2,NA,1119281270226219e3,LawanHoax,neutral,23,MAFINDO,TurnBackHoax
[SALAH] Foto Quick Count dari Situs Tirto Menangkan Prabowo ... Gubahan itu dilakukan dengan mengubah informasi yang terdapat di dalam laman (situs) dengan cara “inspeksi elemen”. Selengkapnya di bagian PENJELASAN dan REFERENSI! #LawanHoax,salah foto quick count situs tirto menangkan prabowo gubahan mengubah informasi laman situs inspeksi elemen selengkapnya penjelasan referensi,NA,89,2019-04-19,13:13:00,3,NA,1119227553963634700,LawanHoax,positive,147,MAFINDO,TurnBackHoax
"[SALAH] KPU dituduh melakukan “penggiringan opini yang luar biasa” Tidak akan bisa terjadi penggiringan opini para pemilih : karena proses coblos sudah selesai. Beda dengan Pemilu zaman dahulu, dimana berbagai lembaga survey sudah ... #LawanHoax",salah kpu dituduh penggiringan opini penggiringan opini pemilih proses coblos selesai beda pemilu zaman dimana lembaga survei,NA,87,2019-04-19,11:36:00,2,NA,1119203236148170800,LawanHoax,neutral,114,MAFINDO,TurnBackHoax
"[SALAH] “Data di Mabes TNI berdasarkan Formulir C1” Nama TNI dicatut agar post terlihat valid, padahal sumber data bukan dari TNI. Selengkapnya di bagian PENJELASAN dan REFERENSI. #LawanHoax",salah data mabes tni berdasarkan formulir c1 nama tni dicatut post valid sumber data tni selengkapnya penjelasan referensi,NA,206,2019-04-18,14:00:00,10,NA,1118876862166421500,LawanHoax,neutral,283,MAFINDO,TurnBackHoax
"[SALAH] Habib Rizieq Shihab Serukan Coblos Jokowi Video Habib Rizieq Shihab serukan coblos Calon Presiden Nomor Urut 01, Joko Widodo merupakan video hasil suntingan. Video itu berasal dari video dalam akun Youtube Front TV berjudul ... #LawanHoax",salah habib rizieq shihab serukan coblos jokowi video habib rizieq shihab serukan coblos calon presiden nomor urut joko widodo video hasil suntingan video berasal video akun youtube front tv berjudul,NA,8,2019-04-18,09:05:00,0,NA,1118802669949206500,LawanHoax,neutral,13,MAFINDO,TurnBackHoax
"[SALAH] PERGERAKAN MIRIP ’98’ “Itu hoax. Semua konten-konten provokatif dan agitatif yang disebarkan oleh akun-akun di medsos sedang diprofiling dan identifikasi oleh tim Cyber Bareskrim,” #LawanHoax",salah pergerakan ninetyeight hoax konten konten provokatif agitatif disebarkan akun akun diprofiling identifikasi tim cyber bareskrim,NA,48,2019-04-18,08:47:00,2,NA,1118798083662340100,LawanHoax,neutral,70,MAFINDO,TurnBackHoax
