full_text_norm,created_at,id_str,user_name,user_screen_name,,label
Propokator perusak negara segera aparat ke TKP Cc @DivHumas_Polri @Puspen_TNI @KejaksaanRI @BareskrimPolri #KPUMelayani #SaveErinTaulany,4/24/2019 11:07,1.12E+18,#SulSel#,Landolendong2,,hoax
Itu settingan Itu pasti koran nya dibayar Kpu curang qc curang #saveerintaulany,4/24/2019 4:15,1.12E+18,#SINTING#saveerintaulany,Juan_ramosh,,hoax
Semoga ibu diberi hidayah dan panjang umur #JokowiAminMenang #saveerintaulany,4/24/2019 3:58,1.12E+18,#SINTING#saveerintaulany,Juan_ramosh,,hoax
Pak Polisi... ini emak-emak yang laporin istrinya Andre tolong dicek akun medsos mereka. Palingan postingan²nya juga banyak yang menghina Pak Jokowi... #SaveErinTaulany ,4/24/2019 0:30,1.12E+18,♥ ♦I NYOMAN AVNAN ♣ ♠,avnan_anarchy,,hoax
@AnakPamekasan tu yg di fb fotox asli atau akun penebar hoax. Sy kembali TEGASKAN kalimat panglima NKRI HARGA MATI. TNI ada benteng NKRI. @DivHumas_Polri SEGERA tindak lanjut. #SaveErinTaulany,4/23/2019 23:55,1.12E+18,Papua Wesprianus Heipon,wesprianus,,hoax
Nuuum...Hanum... Mending ngemut kono lho nduk... #SaveErinTaulany,4/23/2019 17:17,1.12E+18,Mas Moel,djumoel,,hoax
#SaveTaulany #SaveErinTaulany,4/23/2019 15:50,1.12E+18,Dinny Aryanti,DinnyAryanti,,hoax
mariiii kita laporkan balik mrka wkwkwkwkw pst mrka jiper.. blm jd presiden aj pengikutnya dah ky taik.. #saveerintaulany,4/23/2019 14:37,1.12E+18,jokowiorangbaik,metta771,,hoax
si umi pipik sok ngasih hadis2an sm bu erin. lg nyepongin burung laki temannya ingt hadis nga loe pik? #SaveErinTaulany,4/23/2019 14:35,1.12E+18,jokowiorangbaik,metta771,,hoax
Yg jujur versi mba ini adl ketika nangis2 membela sandiwara oplas ratu hoax. #SaveTaulany #SaveErinTaulany #SaveSanity,4/23/2019 9:34,1.12E+18,For God and Country,rico_cp,,hoax
#SaveErinTaulany,4/23/2019 9:01,1.12E+18,Tarcisius Christophorus Tjan Fen Fat TOCarm,TTocarm,,hoax
#SaveErinTaulany ,4/23/2019 7:50,1.12E+18,andi panjaitan,AndipanjaitanP,,hoax
#SaveTaulany #SaveErinTaulany,4/23/2019 6:56,1.12E+18,Hernita,Hernita1371,,hoax
Alhamdulillah.... Semoga semakin naik lg jumlahnya Aamiin.. #SaveTaulany #SaveErinTaulany,4/23/2019 6:52,1.12E+18,Hernita,Hernita1371,,hoax
