full_text;created_at;id_str;user_name;user_screen_name;label
Kalah di Makassar, boikot coto Makassar, kalau bong berani dasar bong PeAk. #PrabowoWinRealCount;25/04/2019 3:58;1,12126E+18;Hadirawati;dhira_key;hoax
#BPNKawalSuaraKami #IndonesiaFraudElection #IndonesiaFraudElection2019 #MauMenangKokMainCurang #AuditForensikKPU #PrabowoWinRealCount ;25/04/2019 3:51;1,12126E+18;Yudha;endhaxcv;valid
#BPNKawalSuaraKami #IndonesiaFraudElection #IndonesiaFraudElection2019 #MauMenangKokMainCurang #AuditForensikKPU #PrabowoWinRealCount ;25/04/2019 3:51;1,12126E+18;Yudha;endhaxcv;valid
Hidup TNI. Dirgahayu Kopassus #PrabowoWinRealCount #SaveOurDemocracy;25/04/2019 3:19;1,12125E+18;Maksum Abdul Hamid;Maksum_cahndeso;valid
#02wintheelection #PrabowoPresidenRI #PrabowoWinRealCount ;25/04/2019 3:13;1,12125E+18;Ana Noor;ApricottaCandy;valid
Teman2 madura luar biasa, semua berakal sehat #PejuangPenjagaSuara02 #RCnyaKPUdimiripkanQC #PrabowoWinRealCount;25/04/2019 3:12;1,12125E+18;Faisal;faisal1809;valid
Siapapun nanti yang menang yang penting saya tidak berada di barisan cebong haha.. #PrabowoWinRealCount #JagaSuara02AmankanC1 #02wintheelection #PrabowoBentengNKRI;25/04/2019 3:05;1,12125E+18;Muhamad Yogi Gunawan;MuhamadYogiGun1;valid
se7... #PrabowoWinRealCount #KpuJanganCurang #119FatalityKetuaKPUMundur;25/04/2019 3:02;1,12125E+18;SutanRaja;SutanRaja7;valid
sakit kepala bukan karena c1 tetapi karena rantai putus. #KPUJanganSalahInputData #KpuJanganCurang #PrabowoWinRealCount;25/04/2019 2:59;1,12125E+18;Sandireonaldibue;sandireonaldi95;valid
Udh di php in.. masih jd penjilat. #RealCountKPUdimiripkanQC #PrabowoWinRealCount #PrabowoSandiTakTerbendung;25/04/2019 2:57;1,12125E+18;Early66;erlyy66;valid
