full_text,created_at,id_str,user_name,user_screen_name,label
"Banyak Klaim Kemenangan Pilpres 2019, Tim Hore Mengalami Gangguan Kejiwaan. #beritaViral #pilpres2019 #pemilu2019 #JanganCurangiSuaraRakyat #AvengersEndgame #CAleg",4/25/2019 4:28,1.12127E+18,Viral Hari Ini,viralhariini,HOAKS
(Berita | Memahami Quick Count dan Real Count: Beda Kerja tapi Hasil Identik) #pemilu #pemilu2019,4/24/2019 23:20,1.12119E+18,PEMILU 2019,pemilu_org,HOAKS
Mari Jadikan Pemilu untuk Perdamaian Pemilu untuk Kemajuan Bangsa #Pemilu2019 Mbah Kiai Maimoen Zubair #Roadshow #LiveEvent #HaflahImtihan @TV9NUsantara @ayomondok,4/24/2019 16:05,1.12108E+18,Hakim Jayli,hakimjayli,HOAKS
Kakak-Adik Lolos ke Kursi Legislatif #CalegBali #berita #nusabali #Pileg2019 #Pemilu2019 #GusBota,4/25/2019 1:53,1.12123E+18,NusaBali.com,nusabalicom,HOAKS
PAN di DIY membuat catatan tentang pencalegan kader-kadernya. Tiga anak Amien Rais terpilih sebagai wakil rakyat dari daerah tersebut dengan dukungan besar. #Pemilu2019 ,4/25/2019 4:10,1.12127E+18,◬,xuiaw,HOAKS
Banyaknya petugas KPPS yang meninggal dunia dan sakit memunculkan wacana untuk mengkaji ulang pemilu serentak. #Pemilu2019 ,4/25/2019 3:46,1.12126E+18,detikcom,detikcom,VALID
Sekalian aja 100% pak. Biar PUASSS !! lahir bathin. #Pemilu2019 #pilpres2019,4/25/2019 4:19,1.12127E+18,#DamaiIndonesiaku,adamlfs,VALID
"Di Sumut, Ada 7 Petugas KPPS Meninggal Dunia #Pemilu2019",4/24/2019 17:54,1.12111E+18,VIVAcoid,VIVAcoid,VALID
"Pengambilan Saham Freeport dan Pilpres seperti sama cara nya. Semakin hari terbukti kelakuan rezim ini. Kolusi , Korupsi, Nepotisme, terus merajalela. #2thnPerjuanganKorbanPHK_Freeport #Pemilu2019 #QuickCount #Pemilu2019 #Pilpres2019 #Pilpres2019 #QuickCount #Freeport",4/25/2019 4:18,1.12127E+18,💢West Papuan 💢,franhard,HOAKS
"Datangi KPU, Mahfud MD: Kekeliruan Hanya 0,0004 Persen #Pemilu2019 #RakyatButuhDamai",4/25/2019 4:18,1.12127E+18,Pengikut Ulama Shalih,JusufMuslim,VALID
